"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"IAM-3109","https://onemain.atlassian.net/browse/IAM-3109","IAM1-23","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-23","Epic","Flat file revamp","IAM-2993","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1760","https://onemain.atlassian.net/browse/IAM-1760","IAM1-28","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-28","Epic","Enhancing/Maturing - Blocked commonly used passwords ","IAM-1452","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-3045","https://onemain.atlassian.net/browse/IAM-3045","IAM1-31","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-31","Epic","Desktop MFA","IAM-1452","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1517","https://onemain.atlassian.net/browse/IAM-1517","IAM1-32","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-32","Epic","Eliminate Unauthorized Elevated Access","IAM-1452","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-3009","https://onemain.atlassian.net/browse/IAM-3009","IAM1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-33","Epic","User Access Reviews","IAM-2993","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-3008","https://onemain.atlassian.net/browse/IAM-3008","IAM1-34","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-34","Epic","Identity Lifecycle Management","IAM-2993","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-3553","https://onemain.atlassian.net/browse/IAM-3553","IAM1-36","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-36","Epic","Application Governance Project","IAM-1452","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1013","https://onemain.atlassian.net/browse/IAM-1013","IAM1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-41","Epic","Access Management ","IAM-1009","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-2252","https://onemain.atlassian.net/browse/IAM-2252","IAM1-43","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-43","Epic","role group and application tracking in Servicenow for reviews to include risk rating, sox/non sox, review frequency ect","IAM-1606","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-3923","https://onemain.atlassian.net/browse/IAM-3923","IAM1-46","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-46","Epic","Centralizing Birthright Access for Field Leadership – IAM Platform Migration","IAM-1606","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-2486","https://onemain.atlassian.net/browse/IAM-2486","IAM1-54","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-54","Epic","Unified MFA - IAM","IAM-2485","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-3576","https://onemain.atlassian.net/browse/IAM-3576","IAM1-56","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-56","Epic","Access profiles, RBAC/ABAC/Role setup in Veza","IAM-2993","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-3558","https://onemain.atlassian.net/browse/IAM-3558","IAM1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-60","Epic","IGA revamp - 2025","IAM-1606","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-3677","https://onemain.atlassian.net/browse/IAM-3677","IAM1-102","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-102","Task","IT_LS_02 samples","IAM-3351","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-2267","https://onemain.atlassian.net/browse/IAM-2267","IAM1-122","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-122","Task","Eliminate legacy GSA_* groups","IAM-1454","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1404","https://onemain.atlassian.net/browse/IAM-1404",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Modify Account Schema for Service Now Termination Ticket source","IAM-1353","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1381","https://onemain.atlassian.net/browse/IAM-1381","IAM1-124","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-124","Task","Modify Account Schema for Service Now Termination Ticket source – Termination Date","IAM-1353","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1385","https://onemain.atlassian.net/browse/IAM-1385",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","FocalPoint Admin Password Rotation","IAM-1353","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1391","https://onemain.atlassian.net/browse/IAM-1391",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Enable Debugging for Sailpoint for Active Directory","IAM-1353","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1384","https://onemain.atlassian.net/browse/IAM-1384","IAM1-125","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-125","Task","Focal Point Admin Password Rotation for SailPoint Production","IAM-1353","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1399","https://onemain.atlassian.net/browse/IAM-1399","IAM1-126","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-126","Task","Automated Provisioning / Deprovisioning in GLIA via Sailpoint","IAM-1353","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-1398","https://onemain.atlassian.net/browse/IAM-1398","IAM1-127","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-127","Task","Termination Attribute Sailpoint Enhancement","IAM-1353","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-370","https://onemain.atlassian.net/browse/IAM-370","IAM1-128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-128","Story","Okta Onboarding - Self Service Console/Pricing and Credit","IAM-355","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-356","https://onemain.atlassian.net/browse/IAM-356","IAM1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-129","Story","Okta Onboarding - API Template application","IAM-355","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-392","https://onemain.atlassian.net/browse/IAM-392","IAM1-130","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-130","Story","Databricks SSO Enhancements","IAM-355","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-2070","https://onemain.atlassian.net/browse/IAM-2070","IAM1-134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-134","Task","Ask from Patrick to include FIS in RBAC roles for specific depts","IAM-1674","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-847","https://onemain.atlassian.net/browse/IAM-847","IAM1-135","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-135","Task","Okta Integration - KeyedIn Domain Change","IAM-355","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IAM-2026","https://onemain.atlassian.net/browse/IAM-2026","IAM1-151","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IAM1-151","Task","Update termination procedures to process associated Personal Privileged Accounts along with their human user accounts.","IAM-1674","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
