"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CMP-69","https://onemain.atlassian.net/browse/CMP-69",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Partner with IAM to establish record of people with access to PROD and identify logged activity","CMP-9","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-67","https://onemain.atlassian.net/browse/CMP-67",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Enhance dashboards for incident teams ","CMP-3","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-104","https://onemain.atlassian.net/browse/CMP-104",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Misc PTASK Initiatives","CMP-4","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-66","https://onemain.atlassian.net/browse/CMP-66",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Support Moving App Dev Changes To Auto-Approve Prod Deploy","CMP-9","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-74","https://onemain.atlassian.net/browse/CMP-74",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","TOE Scrum Training Follow Ups","CMP-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-79","https://onemain.atlassian.net/browse/CMP-79",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Periodic Analysis/Review of CHG Data","CMP-11","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-82","https://onemain.atlassian.net/browse/CMP-82",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Internal Training Epic - 2024","CMP-10","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-92","https://onemain.atlassian.net/browse/CMP-92",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Jira Redesign Support","CMP-10","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-101","https://onemain.atlassian.net/browse/CMP-101",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Enhanced Jira-SNOW Integration","CMP-8","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-111","https://onemain.atlassian.net/browse/CMP-111",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Release Standup","CMP-3","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-124","https://onemain.atlassian.net/browse/CMP-124",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Risk and Impact Analysis ","CMP-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-123","https://onemain.atlassian.net/browse/CMP-123",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Emergency Change Process Enhancement","CMP-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-55","https://onemain.atlassian.net/browse/CMP-55",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Socialize Change Metrics for Improvements","CMP-3","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-125","https://onemain.atlassian.net/browse/CMP-125",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","System Maintenance Notifications","CMP-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-126","https://onemain.atlassian.net/browse/CMP-126",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Release SOP Guidelines ","CMP-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-127","https://onemain.atlassian.net/browse/CMP-127",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Playbook for Multi Releases","CMP-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-128","https://onemain.atlassian.net/browse/CMP-128",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Change Management Communications","CMP-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-159","https://onemain.atlassian.net/browse/CMP-159",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Create Change Tickets Deployment Tools","CMP-148","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CMP-172","https://onemain.atlassian.net/browse/CMP-172",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Change Dashboard - COMMS","CMP-153","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
