"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"COPS-111","https://onemain.atlassian.net/browse/COPS-111","COPS1-166","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-166","Task","Identify what products are in place but do not have logs / alerts being forwarded to SOC","COPS-107","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-110","https://onemain.atlassian.net/browse/COPS-110","COPS1-168","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-168","Task","Review options for alerts to cover gaps.","COPS-107","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-112","https://onemain.atlassian.net/browse/COPS-112","COPS1-169","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-169","Task","Identify areas where the least amount of coverage exists.","COPS-107","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-293","https://onemain.atlassian.net/browse/COPS-293","COPS1-199","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-199","Task","FlashPoint SSO","COPS-291","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-109","https://onemain.atlassian.net/browse/COPS-109","COPS1-228","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-228","Task","Identify what products are in place and what alerts are currently being forwarded to SOC","COPS-107","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-551","https://onemain.atlassian.net/browse/COPS-551","COPS1-238","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-238","Task","Failure to add any new customers in over an hour… so this query < 1, for 60 minutes: eventType eq ""group.user_membership.add"" and target.id eq ""00g162ji5nJWxKXlE5d7"" and outcome.result eq ""SUCCESS""","COPS-550","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-553","https://onemain.atlassian.net/browse/COPS-553","COPS1-239","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-239","Task","Low Authentications for Trim. Low volume system, this could go as long as 6 hours with 0 users before triggering an alert overnight eventType eq “user.authentication.sso” and target.id eq “0oa2xuw4dlP3HLyHw5d7”","COPS-550","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-554","https://onemain.atlassian.net/browse/COPS-554","COPS1-240","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-240","Task","Low Authentications for Loans Web App. This is one of our busiest use cases, and anything < 10, for two 5 minute polls should send an alert. eventType eq “user.authentication.sso” and target.id eq “0oa1h42encBJFy0lX5d7”","COPS-550","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-555","https://onemain.atlassian.net/browse/COPS-555","COPS1-241","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-241","Task","Low Authentications for Cards Web App. This is not very high volume, so I would say 0 users in 30 minutes should trigger an alert. eventType eq “user.authentication.sso” and target.id eq “0oa3kfpfni3fpefJd5d7”","COPS-550","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-556","https://onemain.atlassian.net/browse/COPS-556","COPS1-242","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-242","Task","Low Authentications for Cards Mobile App. This is a bit busier, and more even keeled than the Cards web app, this should be < 5 hits in a two poll (10 minute) span. eventType eq “user.authentication.sso” and target.id eq “0oa1crb3ecAMecoxq5d7”","COPS-550","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-552","https://onemain.atlassian.net/browse/COPS-552","COPS1-245","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-245","Task","Too many concurrent users. Really anything here should send an alert to the Okta folks, and lets say greater than 5 should go to the EMC as well eventType eq “system.client.concurrency_rate_limit.violation”","COPS-550","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-505","https://onemain.atlassian.net/browse/COPS-505","COPS1-246","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-246","Task","Control 93","COPS-500","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-108","https://onemain.atlassian.net/browse/COPS-108","COPS1-247","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-247","Task","Publish preliminary roadmap and standards","COPS-107","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-503","https://onemain.atlassian.net/browse/COPS-503","COPS1-248","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-248","Task","Control #89","COPS-500","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-501","https://onemain.atlassian.net/browse/COPS-501","COPS1-262","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-262","Task","Control # 7","COPS-500","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COPS-502","https://onemain.atlassian.net/browse/COPS-502","COPS1-263","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COPS1-263","Task","Control # 88","COPS-500","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
