"SourceKey","IssueType","Summary","Error","ErrorDetails","Priority","Status","Assignee","Reporter","Created","Updated","Description","SourceURL"
"EDME-3067","Initiative","Security Initiatives 2025","Failed to create issue EDME-3067 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","In Progress","Lucinda Laughlin","Lucinda Laughlin","1/16/2025 1:02:52 PM","9/3/2025 10:03:55 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-3067"
"EDME-3078","Initiative","OS Maintenance 2025","Failed to create issue EDME-3078 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","In Progress","Mark Renshaw","Mark Renshaw","1/16/2025 5:13:53 PM","9/10/2025 8:58:10 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-3078"
"EDME-1703","Task","Security Update for .NET Core Multiple Vuls","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Highest","Backlog","","Marilyn Frank","5/22/2024 10:47:32 AM","8/29/2025 11:23:41 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-1703"
"EDME-1292","Task","Anypoint Studio for macOS","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","High","Blocked","Andy Ungethiem","Lucinda Laughlin","3/15/2024 1:09:03 PM","8/28/2025 6:12:21 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-1292"
"EDME-1283","Task","Version/CVE? - SSL Certificate Expiry","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Marilyn Frank","3/12/2024 9:25:33 AM","8/27/2025 2:58:06 PM","@{type=doc; version=1; content=System.Object[]}","https://onemain.atlassian.net/browse/EDME-1283"
"EDME-1272","Task","Version/CVE? - Oracle Java JRE Unsupported Version Detection","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Marilyn Frank","3/6/2024 8:51:13 AM","8/27/2025 2:58:02 PM","@{type=doc; version=1; content=System.Object[]}","https://onemain.atlassian.net/browse/EDME-1272"
"EDME-458","Task","Enable 'Hide Option to Enable or Disable Updates'","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","Jason Conner","Jason Conner","8/18/2023 1:43:18 PM","10/15/2025 10:22:25 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-458"
"EDME-438","Task","Disable running or installing downloaded software with invalid signature","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","Jason Conner","Jason Conner","8/10/2023 2:56:48 PM","10/15/2025 10:21:45 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-438"
"EDME-421","Task","Disable the built-in Administrator account","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","In Progress","Joe Brown","Rob Goelz","8/8/2023 3:06:42 PM","6/7/2024 5:25:16 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-421"
"EDME-337","Task","Uninstall Policies for all apps in Jamf","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Lucinda Laughlin","6/6/2023 11:47:21 AM","5/9/2025 11:08:32 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-337"
"EDME-334","Task","Jamf Connect 2.24 - Offline MFA","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Lucinda Laughlin","Lucinda Laughlin","6/5/2023 2:20:46 PM","10/15/2025 10:51:32 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-334"
"EDME-397","Task","Test ""Allow boot from external media""","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Lucinda Laughlin","Lucinda Laughlin","8/3/2023 12:35:50 PM","10/15/2025 10:51:47 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/EDME-397"
