"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"DP-219","https://onemain.atlassian.net/browse/DP-219","DP1-10","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-10","Story","BOX Shield Configuration","DP-176","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-232","https://onemain.atlassian.net/browse/DP-232","DP1-12","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-12","Story","Ongoing Support of London Datacenter - Data collection issue","DP-176","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-240","https://onemain.atlassian.net/browse/DP-240","DP1-20","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-20","Story","Unmanaged Devices - Security Requirements","DP-176","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-247","https://onemain.atlassian.net/browse/DP-247","DP1-27","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-27","Story","Q4 (Phase 6) - Policy change identification","DP-4","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-249","https://onemain.atlassian.net/browse/DP-249",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Story","Q4 - (Phase 6) - Policy Change Identification","DP-9","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-234","https://onemain.atlassian.net/browse/DP-234","DP1-29","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-29","Story","Alert Refinement - Nightfall - September","DP-176","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-194","https://onemain.atlassian.net/browse/DP-194","DP1-31","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-31","Task","Configure and Deploy VDI Client","DP-187","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-16","https://onemain.atlassian.net/browse/DP-16","DP1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-33","Task","Reporting and Alert Refinement","DP-11","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-61","https://onemain.atlassian.net/browse/DP-61","DP1-39","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-39","Task","Ensure DLP Events are forwarded to Elastic","DP-5","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-62","https://onemain.atlassian.net/browse/DP-62","DP1-40","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-40","Task","Acquire Palo DLP Rules for review","DP-5","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-82","https://onemain.atlassian.net/browse/DP-82","DP1-43","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-43","Task","Test Zscaler capabilities to monitor AI data content","DP-9","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-188","https://onemain.atlassian.net/browse/DP-188","DP1-45","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-45","Task","Verify Azure Deployment Requirements/Prerequisites","DP-187","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-189","https://onemain.atlassian.net/browse/DP-189","DP1-46","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-46","Task","Complete Azure Deployment","DP-187","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-190","https://onemain.atlassian.net/browse/DP-190","DP1-47","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-47","Task","Review VDI Configurations/Prerequisites","DP-187","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-191","https://onemain.atlassian.net/browse/DP-191","DP1-48","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-48","Task","Configure VDI Templates","DP-187","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-192","https://onemain.atlassian.net/browse/DP-192","DP1-49","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-49","Task","Configure VDI Forwarding Profiles","DP-187","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-193","https://onemain.atlassian.net/browse/DP-193","DP1-50","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-50","Task","Configure Dynamic VDI Groups","DP-187","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DP-12","https://onemain.atlassian.net/browse/DP-12","DP1-54","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DP1-54","Task","Identify and Assign Owners","DP-11","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
