"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"DBA-387","https://onemain.atlassian.net/browse/DBA-387","DBA1-79","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-79","Task","PostgreSQL PROD - Add Service Accounts to Thycotic and generate new password(s)","DBA-164","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-22","https://onemain.atlassian.net/browse/DBA-22","DBA1-80","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-80","Task","Upgrade PostgreSQL on EVDCIPGDBx01 servers","DBA-18","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-385","https://onemain.atlassian.net/browse/DBA-385","DBA1-81","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-81","Task","PostgreSQL PROD - Backup Prod databases on evdcipgdbp01a - track and document time for backups","DBA-164","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-285","https://onemain.atlassian.net/browse/DBA-285","DBA1-82","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-82","Task","PostgreSQL Cluster - Install and build out INT Environment","DBA-164","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-284","https://onemain.atlassian.net/browse/DBA-284","DBA1-83","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-83","Task","PostgreSQL Cluster - Install and build out Dev Environment","DBA-164","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-210","https://onemain.atlassian.net/browse/DBA-210","DBA1-87","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-87","Task","Kofax 7.9 Non Payment QA SQL Server Build","DBA-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-21","https://onemain.atlassian.net/browse/DBA-21","DBA1-88","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-88","Task","Investigate Migration of existing PostgreSQL databases to AWS RDS","DBA-18","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-98","https://onemain.atlassian.net/browse/DBA-98","DBA1-89","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-89","Task","Kofax 7.9 New Payment PROD SQL Server Build","DBA-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-208","https://onemain.atlassian.net/browse/DBA-208","DBA1-90","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-90","Task","Kofax 7.9 Non Payment Dev SQL Server Build","DBA-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-200","https://onemain.atlassian.net/browse/DBA-200","DBA1-91","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-91","Task","SQL Host Maintenance","DBA-1","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-197","https://onemain.atlassian.net/browse/DBA-197","DBA1-92","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-92","Task","Identify all PostgreSQL servers running on RHEL 7","DBA-194","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-96","https://onemain.atlassian.net/browse/DBA-96","DBA1-93","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-93","Task","Kofax 7.8 New Payment INT SQL Server Build","DBA-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-464","https://onemain.atlassian.net/browse/DBA-464","DBA1-102","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-102","Task","Reduce Tech Debt - ","DBA-459","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DBA-416","https://onemain.atlassian.net/browse/DBA-416","DBA1-104","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DBA1-104","Task","PostgreSQL - Upgrade non-prod environments as needed","DBA-164","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
