"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"IMG-2019","https://onemain.atlassian.net/browse/IMG-2019","IMG1-23","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-23","Epic","KTA Payment INT Cloud migration","IMG-1608","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1975","https://onemain.atlassian.net/browse/IMG-1975","IMG1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-24","Epic","[DMS] Integration test and Promote to Prod","IMG-713","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-2119","https://onemain.atlassian.net/browse/IMG-2119","IMG1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-25","Epic","KTA - 2025 Q4 Kofax Payment & non-payment enhancements","IMG-1795","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1877","https://onemain.atlassian.net/browse/IMG-1877","IMG1-26","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-26","Epic","Migrate IMG Initiatives and Child Issues to new instance of Jira Cloud","IMG-1795","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1924","https://onemain.atlassian.net/browse/IMG-1924","IMG1-27","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-27","Epic"," [WebSphere Projects] Analyze IDDR Application move out of WebSphere to OpenShift ","IMG-1420","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-2122","https://onemain.atlassian.net/browse/IMG-2122","IMG1-28","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-28","Epic","KTA - Production Tangent/D21 upgrade","IMG-1880","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-2126","https://onemain.atlassian.net/browse/IMG-2126","IMG1-29","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-29","Epic","[BAU] Infrastructure setup Automate Title invoice uploads to ELF accounts","IMG-2027","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-2127","https://onemain.atlassian.net/browse/IMG-2127","IMG1-30","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-30","Epic","[BAU] Development work for Automate Title invoice uploads to ELF accounts ","IMG-2027","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-2128","https://onemain.atlassian.net/browse/IMG-2128","IMG1-31","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-31","Epic","[BAU] Testing and Deployment Automate Title invoice uploads to ELF accounts","IMG-2027","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1794","https://onemain.atlassian.net/browse/IMG-1794","IMG1-32","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-32","Epic","[IDP-TA] - Resistant.ai follow up tests","IMG-1795","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1889","https://onemain.atlassian.net/browse/IMG-1889","IMG1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-33","Epic","KTA Non Payment Dev Cloud migration","IMG-1608","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1973","https://onemain.atlassian.net/browse/IMG-1973","IMG1-34","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-34","Epic","feasibility analysis of Migrating to KoFAx Cloud","IMG-1608","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-2140","https://onemain.atlassian.net/browse/IMG-2140","IMG1-35","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-35","Epic","IPad - Q4 2025 Ipad enhancements","IMG-2073","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-2117","https://onemain.atlassian.net/browse/IMG-2117","IMG1-36","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-36","Epic","[WebSphere-Migration] AI Code Refactor tool Evaluation","IMG-1420","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1676","https://onemain.atlassian.net/browse/IMG-1676","IMG1-37","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-37","Epic","Instrument Digital Documents API with OTel","IMG-1949","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1963","https://onemain.atlassian.net/browse/IMG-1963","IMG1-38","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-38","Epic","[DMS] Implement a Mutation wrapper for digitaldocuments-doc-upload REST EP in bauGraph","IMG-713","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1950","https://onemain.atlassian.net/browse/IMG-1950","IMG1-39","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-39","Epic","[WebSphere-Migration] LServ Application move out of WebSphere to OpenShift ","IMG-1420","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1904","https://onemain.atlassian.net/browse/IMG-1904","IMG1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-41","Epic","2025 Q3 Operational requests","IMG-1949","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1395","https://onemain.atlassian.net/browse/IMG-1395","IMG1-42","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-42","Epic","Enabling document ingestion from Foresight","IMG-558","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1938","https://onemain.atlassian.net/browse/IMG-1938","IMG1-43","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-43","Epic","CLASS printing changes to remove completion certificates and blank pages when signed customer docs are printed","IMG-1949","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"IMG-1609","https://onemain.atlassian.net/browse/IMG-1609","IMG1-44","https://onemainfinancial-migrationsandbox.atlassian.net/browse/IMG1-44","Epic","[KTA] Kofax upgrade 8.0.1.2 to 8.0.1.10","IMG-1795","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
