"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"POP-56","https://onemain.atlassian.net/browse/POP-56","POP1-22","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-22","Epic","Automate change notifications to dependent teams/services (tentative, pending CMDB) ","POP-172","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-463","https://onemain.atlassian.net/browse/POP-463","POP1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-24","Epic","Big Panda Agentic AI POC ","POP-173","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-430","https://onemain.atlassian.net/browse/POP-430","POP1-29","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-29","Epic","SMS Process Evaluation & Workflow Mapping","POP-428","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-473","https://onemain.atlassian.net/browse/POP-473","POP1-32","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-32","Epic","Business Application Portfolio","POP-171","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-437","https://onemain.atlassian.net/browse/POP-437","POP1-35","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-35","Epic","SMS Monitoring Assessment & Prioritization","POP-428","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-448","https://onemain.atlassian.net/browse/POP-448","POP1-36","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-36","Epic","Governance & Handoff to SRE/EMC","POP-428","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-426","https://onemain.atlassian.net/browse/POP-426","POP1-37","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-37","Epic","Comprehensive Service Mapping across all Business Applications within the CMDB","POP-171","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-138","https://onemain.atlassian.net/browse/POP-138","POP1-50","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-50","Epic","Determine Taxonomy of Service, Category, Subcategory, CIs and Error Codes","POP-173","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-213","https://onemain.atlassian.net/browse/POP-213","POP1-54","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-54","Epic","Expanding Breadth and Depth of Problem Management","POP-174","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-388","https://onemain.atlassian.net/browse/POP-388","POP1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-60","Epic","Business Application Data Certification","POP-171","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-407","https://onemain.atlassian.net/browse/POP-407","POP1-63","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-63","Epic","Mature and Improve Incident Management Process ","POP-173","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-398","https://onemain.atlassian.net/browse/POP-398","POP1-65","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-65","Epic","TONCS Server build deployment process evolution ","POP-378","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-471","https://onemain.atlassian.net/browse/POP-471","POP1-69","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-69","Epic","CMDB Integration with HP Asset Manager","POP-171","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"POP-374","https://onemain.atlassian.net/browse/POP-374","POP1-70","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POP1-70","Epic","Additional Archer Data sync to CMDB Inventory","POP-171","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
