"SourceKey","IssueType","Summary","Error","ErrorDetails","Priority","Status","Assignee","Reporter","Created","Updated","Description","SourceURL"
"PLAQ-433","Story","Implement PLOS Eligibility Status in Legacy UI","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Ian Chesnut","12/9/2024 2:25:38 PM","6/2/2025 2:17:47 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-433"
"PLAQ-436","Story","Indicate reason for application no longer able to be supported by PLOS","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Kendra Lacosta","12/10/2024 1:31:04 PM","6/2/2025 2:17:46 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-436"
"PLAQ-1160","Story","Remove Hardcoded Branch Number From App Routes","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Cristy Goff","5/29/2025 4:57:57 PM","5/29/2025 4:59:57 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1160"
"PLAQ-1155","Story","Pagination on Worklist","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Low","Backlog","Zainab Zaki","Zainab Zaki","5/28/2025 3:41:13 PM","5/30/2025 10:57:51 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1155"
"PLAQ-1108","Story","Enable Team Member to Self-Assign an Application from Within Application (Application Actions Menu)","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","Zainab Zaki","Zainab Zaki","5/21/2025 4:39:44 PM","5/30/2025 1:37:26 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-1108"
"PLAQ-403","Story","View Alert of Unassociated Auto Liens  ","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Refinement","","Kahini Amin","11/20/2024 2:43:24 PM","6/2/2025 2:18:32 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-403"
"PLAQ-361","Story","Select Inspection Status of Waived (based on role/permission)","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Bernard Gray","11/13/2024 1:51:31 PM","6/2/2025 2:17:51 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-361"
"PLAQ-355","Story","Auto-Update Ineligibility Reason when Applicant is MLA Covered","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Bernard Gray","11/12/2024 11:04:46 AM","6/2/2025 2:17:46 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-355"
"PLAQ-296","Story","Indicate whether Title was Ever Held Free and Clear (Illinois Only)","Failed to create issue PLAQ-296 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","Justin Krawlzik","Derek Davis","10/25/2024 5:06:49 PM","6/2/2025 2:18:25 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-296"
"PLAQ-197","Story","Refactor Asset Valuation Black Book APIs","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Ready for Work","","Bernard Gray","9/30/2024 10:05:18 AM","6/2/2025 2:18:05 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/PLAQ-197"
