"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CONT-1270","https://onemain.atlassian.net/browse/CONT-1270","CONT1-16","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-16","Epic","Content Support 2025","CONT-69","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1875","https://onemain.atlassian.net/browse/CONT-1875","CONT1-38","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-38","Task","Validate Our Teams (site):Centralized Operations:Auto Home Page","CONT-519","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1888","https://onemain.atlassian.net/browse/CONT-1888","CONT1-39","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-39","Task","Create Centralized Key Contacts Dashboard / Page","CONT-1657","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1770","https://onemain.atlassian.net/browse/CONT-1770","CONT1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-41","Task","Validate Chatbot Integration (Sinch)Web Part","CONT-1659","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1680","https://onemain.atlassian.net/browse/CONT-1680","CONT1-42","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-42","Task","Validate SMD Map","CONT-1654","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1717","https://onemain.atlassian.net/browse/CONT-1717","CONT1-43","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-43","Task","Wire up Leap Form Dashboard to other APIs","CONT-1657","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1400","https://onemain.atlassian.net/browse/CONT-1400","CONT1-51","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-51","Task","Validate Our Teams (site):Branch Operations:Branch Communications","CONT-519","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1769","https://onemain.atlassian.net/browse/CONT-1769","CONT1-56","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-56","Task","Wire up Chatbot Integration (Sinch)Web Part property pane properties","CONT-1659","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1673","https://onemain.atlassian.net/browse/CONT-1673","CONT1-58","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-58","Task","Get RD Map prod data","CONT-1654","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1674","https://onemain.atlassian.net/browse/CONT-1674","CONT1-59","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-59","Task","Wire up RD Map prod data","CONT-1654","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1675","https://onemain.atlassian.net/browse/CONT-1675","CONT1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-60","Task","Validate RD Map","CONT-1654","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1676","https://onemain.atlassian.net/browse/CONT-1676","CONT1-61","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-61","Task","Create SMD Map web part UI","CONT-1654","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1677","https://onemain.atlassian.net/browse/CONT-1677","CONT1-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-62","Task","Create SMD Map demo data","CONT-1654","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1678","https://onemain.atlassian.net/browse/CONT-1678","CONT1-63","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-63","Task","Get SMD Map prod data","CONT-1654","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1679","https://onemain.atlassian.net/browse/CONT-1679","CONT1-64","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-64","Task","Wire up SMD Map prod data","CONT-1654","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CONT-1683","https://onemain.atlassian.net/browse/CONT-1683","CONT1-66","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CONT1-66","Task","Get Branch Directory prod data","CONT-1655","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
