"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"DE-1765","https://onemain.atlassian.net/browse/DE-1765",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Define Openshift Mule stories to implement the single workflow design.","DE-831","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-228","https://onemain.atlassian.net/browse/DE-228","DE1-146","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-146","Story","Coding - create the tagging feature for release orchestration","DE-227","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-793","https://onemain.atlassian.net/browse/DE-793","DE1-150","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-150","Story","Create json file for team mappings in github-config-helper","DE-789","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-794","https://onemain.atlassian.net/browse/DE-794","DE1-153","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-153","Story","Update github-config-helper script to automate team management","DE-789","Refinement","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-792","https://onemain.atlassian.net/browse/DE-792","DE1-154","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-154","Story","Template for creating new team","DE-789","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-436","https://onemain.atlassian.net/browse/DE-436","DE1-155","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-155","Story","Update omfdoa infra repo for override pipeline role","DE-95","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-790","https://onemain.atlassian.net/browse/DE-790","DE1-156","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-156","Story","Create list of repos with appropriate owners","DE-789","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-1670","https://onemain.atlassian.net/browse/DE-1670","DE1-165","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-165","Story","Main branch workflow - deploying to non prod environments","DE-996","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-1828","https://onemain.atlassian.net/browse/DE-1828","DE1-166","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-166","Story","ESDatabase: Create a design for DPL changes","DE-1826","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-1829","https://onemain.atlassian.net/browse/DE-1829","DE1-167","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-167","Story","ESDatabase: Define Hashicorp Enhancements/Changes for retrieving secrets securely from Hashicorp.","DE-1826","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-1830","https://onemain.atlassian.net/browse/DE-1830","DE1-168","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-168","Story","ESDatabase: Work with ESDatabase Developers to define a design for SSRS/SSIS/SSAS deployments","DE-1826","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-1877","https://onemain.atlassian.net/browse/DE-1877","DE1-176","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-176","Story","DSA - Glue Job schedule time - Change from 8 am EST to 7:30 am EST","DE-1775","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-1878","https://onemain.atlassian.net/browse/DE-1878","DE1-177","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-177","Story","DSA: Need to create new glue job and pipeline for new job","DE-1775","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DE-1887","https://onemain.atlassian.net/browse/DE-1887","DE1-179","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DE1-179","Story","Document requirements for Release Orchestration process","DE-1393","Refinement","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
