"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"AI-46","https://onemain.atlassian.net/browse/AI-46","AI1-123","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-123","Task","Kofax Payment Prod System Build","AI-41","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-102","https://onemain.atlassian.net/browse/AI-102","AI1-126","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-126","Task","Azure AD Connect - General Support","AI-68","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-103","https://onemain.atlassian.net/browse/AI-103","AI1-127","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-127","Task","Thycotic Secret Server - General Support","AI-59","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-106","https://onemain.atlassian.net/browse/AI-106","AI1-128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-128","Task","Kaltura - General Support","AI-59","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-114","https://onemain.atlassian.net/browse/AI-114","AI1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-129","Task","Experian PowerCurve Customer Management (PCCM)","AI-109","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-119","https://onemain.atlassian.net/browse/AI-119","AI1-130","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-130","Task","Experian PowerCurve Originations: Configure Luminate Connectivity","AI-109","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-133","https://onemain.atlassian.net/browse/AI-133","AI1-131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-131","Task","Clean up dump Files.","AI-132","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-134","https://onemain.atlassian.net/browse/AI-134","AI1-132","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-132","Task","UPdate certs in WAS","AI-132","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-147","https://onemain.atlassian.net/browse/AI-147","AI1-134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-134","Task","AWS Hardening of the Linux Servers","AI-109","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-156","https://onemain.atlassian.net/browse/AI-156","AI1-135","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-135","Task","OMF PCCM Weekly","AI-109","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-160","https://onemain.atlassian.net/browse/AI-160","AI1-136","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-136","Task","CSI Watchdog - Data Lake for Compliance","AI-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-45","https://onemain.atlassian.net/browse/AI-45","AI1-137","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-137","Task","Kofax Payment QA System Build","AI-41","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-43","https://onemain.atlassian.net/browse/AI-43",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Kofax Payment Dev System Build","AI-41","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-185","https://onemain.atlassian.net/browse/AI-185",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","McAfee Virus Scan Enterprise Encryption","AI-33","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-32","https://onemain.atlassian.net/browse/AI-32","AI1-145","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-145","Task","CSI WatchDog - General Support","AI-59","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-468","https://onemain.atlassian.net/browse/AI-468","AI1-157","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-157","Task","Deploy Outlook plugin.","AI-466","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-2522","https://onemain.atlassian.net/browse/AI-2522","AI1-158","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-158","Story","O'Neil Stratus Upgrade","AI-2419","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-511","https://onemain.atlassian.net/browse/AI-511","AI1-161","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-161","Task","PCO - Troubleshoot Non-Prod","AI-109","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-558","https://onemain.atlassian.net/browse/AI-558","AI1-162","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-162","Task","Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-559","https://onemain.atlassian.net/browse/AI-559","AI1-163","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-163","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-562","https://onemain.atlassian.net/browse/AI-562",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-564","https://onemain.atlassian.net/browse/AI-564",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-565","https://onemain.atlassian.net/browse/AI-565",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-563","https://onemain.atlassian.net/browse/AI-563",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-431","https://onemain.atlassian.net/browse/AI-431","AI1-170","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-170","Task","[Experian] Security Remediation","AI-33","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-417","https://onemain.atlassian.net/browse/AI-417","AI1-171","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-171","Task","[Secretariat] Security Remediation","AI-33","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-415","https://onemain.atlassian.net/browse/AI-415","AI1-172","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-172","Task","[Nets/Mobius 8] Security Remediation","AI-33","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-305","https://onemain.atlassian.net/browse/AI-305","AI1-180","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-180","Task","IBM DBB  configure monitors and alerts","AI-132","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-314","https://onemain.atlassian.net/browse/AI-314","AI1-182","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-182","Task","DBB application upgrade to v1.10","AI-132","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-316","https://onemain.atlassian.net/browse/AI-316","AI1-183","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-183","Task","DBB Initial Implementation of Pipeline ","AI-132","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-342","https://onemain.atlassian.net/browse/AI-342","AI1-186","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-186","Task","IBM DBB create started task","AI-132","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-347","https://onemain.atlassian.net/browse/AI-347","AI1-187","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-187","Task","PCCM - Prelaunch Testing Issues","AI-109","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-414","https://onemain.atlassian.net/browse/AI-414","AI1-189","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-189","Task","[KTA] Security Remediation","AI-33","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1186","https://onemain.atlassian.net/browse/AI-1186",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1204","https://onemain.atlassian.net/browse/AI-1204",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1203","https://onemain.atlassian.net/browse/AI-1203","AI1-192","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-192","Task","Install IBM DBB","AI-792","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1195","https://onemain.atlassian.net/browse/AI-1195",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1183","https://onemain.atlassian.net/browse/AI-1183","AI1-194","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-194","Task","Re-installing KTA on needed servers and deleting/creating DBs","AI-844","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1171","https://onemain.atlassian.net/browse/AI-1171",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1136","https://onemain.atlassian.net/browse/AI-1136",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1101","https://onemain.atlassian.net/browse/AI-1101","AI1-199","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-199","Task","Install KTA 7.9 on prod nonpayment servers","AI-844","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1090","https://onemain.atlassian.net/browse/AI-1090",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1056","https://onemain.atlassian.net/browse/AI-1056",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1041","https://onemain.atlassian.net/browse/AI-1041",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1010","https://onemain.atlassian.net/browse/AI-1010",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","SAS Weekly Check List","AI-548","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-677","https://onemain.atlassian.net/browse/AI-677","AI1-202","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-202","Task","CSI Watchdog OFAC Weekly Meetings","AI-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-701","https://onemain.atlassian.net/browse/AI-701","AI1-204","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-204","Task","Firewall request for Dev nonpayment","AI-698","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-710","https://onemain.atlassian.net/browse/AI-710","AI1-205","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-205","Task","Update diagrams for Dev nonpayment as it stands built","AI-698","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-745","https://onemain.atlassian.net/browse/AI-745","AI1-207","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-207","Task","Firewall request for QA nonpayment","AI-742","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-769","https://onemain.atlassian.net/browse/AI-769","AI1-208","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-208","Task","Firewall requests for Prod payment","AI-766","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-776","https://onemain.atlassian.net/browse/AI-776","AI1-209","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-209","Task","Configure system monitor for Prod payment","AI-766","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-778","https://onemain.atlassian.net/browse/AI-778","AI1-210","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-210","Task","Update diagrams for Prod payment as it stands built","AI-766","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-808","https://onemain.atlassian.net/browse/AI-808","AI1-212","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-212","Task","DBB Meetings","AI-792","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-754","https://onemain.atlassian.net/browse/AI-754","AI1-214","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-214","Task","Update diagrams for QA nonpayment as it stands built","AI-742","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-616","https://onemain.atlassian.net/browse/AI-616","AI1-216","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-216","Task","Firewall request for QA payment","AI-613","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-1388","https://onemain.atlassian.net/browse/AI-1388","AI1-217","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-217","Task","Update archive settings for import connectors","AI-698","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AI-630","https://onemain.atlassian.net/browse/AI-630","AI1-218","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-218","Task","Update QA diagrams to as built.","AI-613","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
