"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CAPE-373","https://onemain.atlassian.net/browse/CAPE-373","CAPE1-118","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAPE1-118","Task","Model ID changes","CAPE-318","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-194","https://onemain.atlassian.net/browse/CAPE-194","CAPE1-119","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAPE1-119","Task","Loan Cap of $14700 for West Virginia","CAPE-163","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-159","https://onemain.atlassian.net/browse/CAPE-159",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Build efficiency into Pricing Config file","CAPE-24","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-874","https://onemain.atlassian.net/browse/CAPE-874","CAPE1-220","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAPE1-220","Task","Branch communication for UTAH LTV change","CAPE-868","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-486","https://onemain.atlassian.net/browse/CAPE-486","CAPE1-221","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAPE1-221","Task","A new MQ has to be created and 3 queues need to be modified to get Premier data","CAPE-334","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-453","https://onemain.atlassian.net/browse/CAPE-453","CAPE1-222","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAPE1-222","Task","Add Soft/Hard pull flag and CB_REFERENCE_NUMBER to JSON Request for Price Elasticity v2","CAPE-334","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-178","https://onemain.atlassian.net/browse/CAPE-178",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Bug","Incorrect Term number getting displayed for TX Branch Applicants with New Term Strategy","CAPE-166","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-184","https://onemain.atlassian.net/browse/CAPE-184",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Bug","Loan term is generated as 42 for all the created loan quotes when an inflight application was transferred after code promotion. ","CAPE-166","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-183","https://onemain.atlassian.net/browse/CAPE-183",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Bug","Loan term is defaulted to 72 for core lending applications from non secure lending test branches ","CAPE-166","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-179","https://onemain.atlassian.net/browse/CAPE-179",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Bug","LB_OFFR_APR, LB_OFFR_TERM and LB_OFFR_LOAN_AMT attributes are populated in Pricing data capture table for C2 affiliate applications.","CAPE-26","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-177","https://onemain.atlassian.net/browse/CAPE-177",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Bug","SIMPLIFIED_LOAN_TERM is populated as 42 for all the created loan quotes. ","CAPE-166","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-182","https://onemain.atlassian.net/browse/CAPE-182","CAPE1-258","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAPE1-258","Bug","FEB RLS-ICETST-CAPE-93-Latest Updated Record is Not Coming For Booking Quote in UOPLGT00 Table","CAPE-26","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-215","https://onemain.atlassian.net/browse/CAPE-215",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Bug","AALOG Defect Monitoring Report","CAPE-26","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CAPE-704","https://onemain.atlassian.net/browse/CAPE-704",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Bug","Product_C field is not working for AUTO/PPPS/PU combination ","CAPE-663","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
