"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"MCCE-1121","https://onemain.atlassian.net/browse/MCCE-1121","MCCE1-56","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-56","Story","Contact Pro : Configure/Setup Okta/SSO for the Custom ContactPro UI","MCCE-1086","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-1116","https://onemain.atlassian.net/browse/MCCE-1116","MCCE1-57","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-57","Story","Ensure all Outbound SMS Messages Can be Sent From the Custom ContactPro UI","MCCE-1086","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-1110","https://onemain.atlassian.net/browse/MCCE-1110","MCCE1-58","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-58","Story","Provide Basic Data in Attached Data Section in Custom ContactPro UI","MCCE-1086","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-1112","https://onemain.atlassian.net/browse/MCCE-1112","MCCE1-59","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-59","Story","Ensure a WFH Team Member is Unable to Pick a Chat from a Restricted State in Custom ContactPro UI","MCCE-1086","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-1102","https://onemain.atlassian.net/browse/MCCE-1102","MCCE1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-60","Story","Connect Custom UI with Existing ContactPro Platform  ","MCCE-1086","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-1103","https://onemain.atlassian.net/browse/MCCE-1103","MCCE1-61","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-61","Story","Implement APIs for Fetching & Updating Customer Interaction for the Custom ContactPro UI","MCCE-1086","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-915","https://onemain.atlassian.net/browse/MCCE-915","MCCE1-64","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-64","Story","OMF Review - add 403 error handler to avoid reprocessing ","MCCE-1094","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-934","https://onemain.atlassian.net/browse/MCCE-934","MCCE1-65","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-65","Spike","SMS : Review SMS multimedia solutions (vCard) for sending through Conversation API","MCCE-1094","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-639","https://onemain.atlassian.net/browse/MCCE-639","MCCE1-66","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-66","Story","Conv History ODS: Enhanced Processing --Implement support for OOO events in Class mapper - MVP2","MCCE-764","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-638","https://onemain.atlassian.net/browse/MCCE-638","MCCE1-67","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-67","Story","Conv History ODS: Enchanced Processing - Implement support for phone number lookup - MVP 2","MCCE-764","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-637","https://onemain.atlassian.net/browse/MCCE-637","MCCE1-68","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-68","Story","Conv History ODS: Incoming SMS support - Change existing pipeline -- need POC - MVP2","MCCE-764","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-610","https://onemain.atlassian.net/browse/MCCE-610","MCCE1-69","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-69","Story","Sinch : Provide screenshot and sample data/payloads of messaging within Sinch products","MCCE-1094","Refinement","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-2340","https://onemain.atlassian.net/browse/MCCE-2340","MCCE1-70","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-70","Story","Services: Migration RPC logic from ChatLayer to AWS","MCCE-764","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-659","https://onemain.atlassian.net/browse/MCCE-659","MCCE1-82","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-82","Story","sparkpost-sapi : Add sending-domain configurations for new environments (TST1)","MCCE-1094","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-728","https://onemain.atlassian.net/browse/MCCE-728","MCCE1-83","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-83","Story","TBD","MCCE-764","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-734","https://onemain.atlassian.net/browse/MCCE-734","MCCE1-84","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-84","Story","Card-AMC-Contact Pro Data Model/ Message Statuses","MCCE-1078","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-925","https://onemain.atlassian.net/browse/MCCE-925","MCCE1-85","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-85","Story","Chatlayer : Fix/update/remove the customers chat transcript block 00-fetch-transcript-before-offload","MCCE-1079","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-871","https://onemain.atlassian.net/browse/MCCE-871","MCCE1-86","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-86","Task","callminer-reports-papi :: Update the report download process to use new URL format","MCCE-1094","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-830","https://onemain.atlassian.net/browse/MCCE-830","MCCE1-89","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-89","Story"," Sinch : Outreach Msg Failure Code : Teleservice not provisioned","MCCE-1079","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-829","https://onemain.atlassian.net/browse/MCCE-829","MCCE1-90","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-90","Story","Sinch : Outreach Msg Failure Code Keyword blocked","MCCE-1079","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-971","https://onemain.atlassian.net/browse/MCCE-971","MCCE1-92","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-92","Spike","AWS : Investigate if AWS VAssist environment/account is still needed","MCCE-1094","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-795","https://onemain.atlassian.net/browse/MCCE-795","MCCE1-93","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-93","Story","Twilio : Your US short code <36002> has an open audit","MCCE-1094","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-763","https://onemain.atlassian.net/browse/MCCE-763","MCCE1-94","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-94","Story","Collab with chris Stanley to ensure appropriate dashboards are built in Grafana. With operational alerts.","MCCE-1094","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"MCCE-762","https://onemain.atlassian.net/browse/MCCE-762","MCCE1-95","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCCE1-95","Story","On old account, but still establish integ, into Grafana and repeat after migration to new account","MCCE-1094","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
