"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"EDME-3569","https://onemain.atlassian.net/browse/EDME-3569","EDME1-13","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-13","Epic","2024 Security Initiatives Carryover","EDME-3067","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-3606","https://onemain.atlassian.net/browse/EDME-3606","EDME1-15","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-15","Epic","Okta Device Access (MFA) - WIN","EDME-3067","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-2768","https://onemain.atlassian.net/browse/EDME-2768","EDME1-16","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-16","Epic","Automate Jamf Software Installation with Okta RGs (RG_JAMF-APP_SOFTWARETITLE)","EDME-3067","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-3105","https://onemain.atlassian.net/browse/EDME-3105","EDME1-22","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-22","Epic","MacOS Vulnerabilities","EDME-3067","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-2943","https://onemain.atlassian.net/browse/EDME-2943","EDME1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-24","Epic","Crowdstrike for MacOS","EDME-3067","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-3319","https://onemain.atlassian.net/browse/EDME-3319","EDME1-32","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-32","Epic","Nessus Agent Jamf Re-Install Policy","EDME-3067","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-3327","https://onemain.atlassian.net/browse/EDME-3327","EDME1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-33","Epic","Okta Device Access (MFA) - Mac","EDME-3067","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-3175","https://onemain.atlassian.net/browse/EDME-3175","EDME1-34","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-34","Epic","Security Epic for EPMC 2025","EDME-3067","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-124","https://onemain.atlassian.net/browse/EDME-124","EDME1-130","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-130","Task","Branch Tech Refresh: Build DMZ server for HP Device Manager","EDME-121","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-827","https://onemain.atlassian.net/browse/EDME-827","EDME1-140","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-140","Task","Upgrade Java and Node on server as a incompatibility was found. ","EDME-1","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-793","https://onemain.atlassian.net/browse/EDME-793","EDME1-141","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-141","Task","Create korbyt.omf.com on internal DNS servers","EDME-1","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EDME-1793","https://onemain.atlassian.net/browse/EDME-1793","EDME1-159","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EDME1-159","Task","Test Microsoft Entra ID Integration","EDME-996","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
