"SourceKey","IssueType","Summary","Error","ErrorDetails","Priority","Status","Assignee","Reporter","Created","Updated","Description","SourceURL"
"CAD-2009","Initiative","Migrate eDispute Application off websphere portal and improve business workflow","Failed to create issue CAD-2009 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","High","In Progress","Ravi Nachimuthu","Ravi Nachimuthu","8/5/2024 5:07:52 PM","6/20/2025 3:03:40 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-2009"
"CAD-106","Spike","PandP database migration to EV****SQL01 servers","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","High","Backlog","Ravi Nachimuthu","Ravi Nachimuthu","5/8/2023 2:09:37 PM","7/5/2023 10:48:27 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-106"
"CAD-1199","Task","A&D - eDispute - Validation rules update while responding to multiple dispute codes","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","High","In Progress","Amit Kumar","Ravi Nachimuthu","2/5/2024 9:19:10 AM","8/13/2024 4:05:10 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-1199"
"CAD-3087","Story","Bankruptcy reports url and name needs correction","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Anjali Pabbareddy","Sindhuja Kolasani","3/28/2025 9:48:46 AM","5/9/2025 12:27:24 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-3087"
"CAD-4124","Task","ICEINT01 | Merchant CRM | Inaccurate results for Merchant referral law search selection","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Heath Fest","Ravi Nachimuthu","10/15/2025 10:43:18 AM","10/15/2025 10:43:49 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-4124"
"CAD-3777","Story","Litigation management - data migration from access database Future Alters","Failed to create issue CAD-3777 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Allen Truban","Allen Truban","8/15/2025 12:29:04 PM","8/15/2025 12:29:05 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-3777"
"CAD-3810","Story","CPP - After Import, the users would like to go back to the Home page instead of the Detail page","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Chris Rumans","8/19/2025 10:18:36 AM","8/19/2025 10:25:36 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-3810"
"CAD-3415","Bug","New users are not being loaded unless app is restarted","Failed to create issue CAD-3415 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Anjali Pabbareddy","Anjali Pabbareddy","6/2/2025 2:20:11 PM","6/2/2025 2:22:47 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-3415"
"CAD-3988","Bug","Judgement date and request received date are to be readonly","Failed to create issue CAD-3988 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Anjali Pabbareddy","Sindhuja Kolasani","9/16/2025 10:10:42 AM","9/16/2025 10:10:42 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-3988"
"CAD-4073","Bug","None to be added to Alter type dropdown.","Failed to create issue CAD-4073 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Anjali Pabbareddy","Sindhuja Kolasani","10/1/2025 10:45:14 AM","10/1/2025 10:45:14 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-4073"
"CAD-2270","Bug","Error displayed on request closure with tasks in progress needs improvisation.","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Geetanjali Vengurlekar","Sindhuja Kolasani","10/2/2024 9:54:35 AM","10/2/2024 9:54:36 AM","","https://onemain.atlassian.net/browse/CAD-2270"
"CAD-4051","Bug","ARC_sp_SearchSoldAccount_MultiParameter sp doesn't match when accout number is leading with zeros","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Sindhuja Kolasani","9/29/2025 1:39:26 PM","9/29/2025 1:39:26 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-4051"
"CAD-3379","Bug","Next button is not working when we complete, reopen and click Next button.","Failed to create issue CAD-3379 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Testing","Sindhuja Kolasani","Sindhuja Kolasani","5/21/2025 10:32:49 AM","5/21/2025 11:50:45 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-3379"
"CAD-3851","Bug","Status Summary report issues","Failed to create issue CAD-3851 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Testing","Sindhuja Kolasani","Sindhuja Kolasani","8/28/2025 4:16:12 PM","9/2/2025 5:01:20 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-3851"
"CAD-4063","Bug","Updating alter type on a request created with Review only as OFF is resulting in an error.","Failed to create issue CAD-4063 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Anjali Pabbareddy","Sindhuja Kolasani","9/30/2025 12:30:25 PM","9/30/2025 12:35:13 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-4063"
"CAD-4028","Bug","CPP - Search By Completed Records Alone times out","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","","Amit Kumar","9/21/2025 12:10:38 PM","10/1/2025 9:44:37 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-4028"
"CAD-4079","Bug","Upon clicking ""Complete & Next"" sometimes it takes user to a Complete Request instead of Open request","Failed to create issue CAD-4079 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Low","Backlog","Anjali Pabbareddy","Anjali Pabbareddy","10/2/2025 2:37:25 PM","10/2/2025 2:38:21 PM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-4079"
"CAD-4094","Bug","ICEINT01 | Merchant CRM | Inaccurate results for Merchant referral law search selection ","Failed to create issue CAD-4094 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Backlog","Heath Fest","Roxana Vlad","10/6/2025 10:32:57 AM","10/15/2025 10:43:19 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-4094"
"CAD-3227","Bug","Account Match Batch job running too long","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","Testing","","Anjali Pabbareddy","4/22/2025 12:03:23 PM","10/1/2025 9:41:53 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-3227"
"CAD-4109","Bug","Charge off date is seen as 1 day less than the date seen in Account lookup for users in eastern time zone.","Failed to create issue CAD-4109 even after field removal: Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","Medium","In Progress","Anjali Pabbareddy","Sindhuja Kolasani","10/14/2025 10:24:57 AM","10/15/2025 10:44:46 AM","ADF content - parsing failed","https://onemain.atlassian.net/browse/CAD-4109"
