"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"GENAI-94","https://onemain.atlassian.net/browse/GENAI-94","GENAI1-22","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-22","Epic","Leverage Atlassian Rovo to streamline SDLC efforts","GENAI-27","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-100","https://onemain.atlassian.net/browse/GENAI-100","GENAI1-23","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-23","Epic","GenAI in SRE Ops","GENAI-27","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-60","https://onemain.atlassian.net/browse/GENAI-60","GENAI1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-24","Epic","I would like to evaluate Amazon Bedrock Studio as an option for genAI agent creation and use at OMF","GENAI-27","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-55","https://onemain.atlassian.net/browse/GENAI-55","GENAI1-26","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-26","Epic","Leverage generative AI to aid in faster analysis of insurance claims for OneMain Solutions","GENAI-8","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-53","https://onemain.atlassian.net/browse/GENAI-53","GENAI1-27","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-27","Epic","Evaluate Snowflake Copilot for data analysis and SQL coding assistance","GENAI-27","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-42","https://onemain.atlassian.net/browse/GENAI-42","GENAI1-30","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-30","Epic","Leverage generative AI to streamline graphic design activities and enhance application of brand standards","GENAI-32","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-41","https://onemain.atlassian.net/browse/GENAI-41","GENAI1-31","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-31","Epic","Leverage generative AI to streamline copywriting activities, improve copy quality, and enhance application of brand voice/tone","GENAI-32","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-40","https://onemain.atlassian.net/browse/GENAI-40","GENAI1-32","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-32","Epic","Assess value of Microsoft PowerBI, PowerAutomate Copilots","GENAI-12","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-31","https://onemain.atlassian.net/browse/GENAI-31","GENAI1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-33","Epic","Assess potential ways to use genAI to accelerate our IBM-z COBOL transformation","GENAI-27","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-18","https://onemain.atlassian.net/browse/GENAI-18","GENAI1-34","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-34","Epic","ChatGPT Pilot: assess ChatGPT as an option for improving Corporate Employee productivity and effectiveness","GENAI-12","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"GENAI-17","https://onemain.atlassian.net/browse/GENAI-17","GENAI1-35","https://onemainfinancial-migrationsandbox.atlassian.net/browse/GENAI1-35","Epic","OneStream POC/Pilot to assess potential for faster forecasting and better Finance team productivity","GENAI-8","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
